,installment,none,oneoff,both
ClusterID,0,1,2,3
clu_balance,59.06494938,2239.064325,927.6726213,3014.887742
clu_purchases,165.0841509,0,1408.94709,1199.231827
clu_purchasefreq,0.003758275,0.802265411,0.703034982,0.321169638
clu_purchasetrx,0.045933014,33.13529198,12.05114401,7.118996798
clu_Monthlyavgpurchase,14.27440359,0,120.3196586,105.0543813
clu_Monthlycashadvance,32.97490327,184.3762151,7.250916476,230.2417336
clu_limitusage,0.018610596,0.598228252,0.269126505,0.58776304
clu_cashadvtrx,0.629716981,6.459805428,0.228489679,8.973809524
clu_payminpaymentratio,88.76104149,2.860054032,6.45558659,3.73331337
clu_both,0,0,0.396689148,0.495833333
clu_installment,0.79009434,0,0.325567137,0.197619048
clu_one_off,0,0,0.277743716,0.306547619
clu_none,0.20990566,1,0,0
clu_creditlimit,3611.045597,4035.26199,4425.122335,5452.234848
